SeniorCitizen,Partner_Num,Dependents_Num,PhoneService_Num,PaperlessBilling_Num,Gender_Num,Churn_Num,MultipleLines_Encoded,InternetService_Encoded,OnlineSecurity_Encoded,OnlineBackup_Encoded,DeviceProtection_Encoded,TechSupport_Encoded,StreamingTV_Encoded,StreamingMovies_Encoded,Contract_Encoded,PaymentMethod_Encoded,TenureGroup,ChargeGroup,HasMultipleLines,HasInternet,HasFiberOptic,HasDSL,HasOnlineSecurity,HasTechSupport,TotalServices,HasPartnerOrDependents,tenure_Scaled,MonthlyCharges_Scaled,ServiceCount_Scaled,AvgMonthlySpend_Scaled,TotalCharges_Scaled
0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,1,1,13,0,-1.2826368140734004,-1.4866438158690392,1.8101878598202,-1.6061613584975403,-0.9998941130635925
0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,2,3,3,1,1,1,0,1,0,0,3,1,1.0405782786037243,-0.16468436462814615,-0.9254613770648553,0.009471204006794793,0.5374560539530924
0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,3,3,1,0,1,0,1,0,0,4,1,0.6737548429178625,-0.17466141709034147,-0.6767659918934866,0.009390163576611198,0.30153448568940916
0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,2,1,0,1,0,1,0,0,3,0,-0.10065018797451245,-0.3176658357151426,-0.9254613770648553,-0.3191436221171014,-0.3335744930488573
0,1,1,1,1,1,1,2,1,0,0,0,0,1,1,0,0,2,2,1,1,1,0,0,0,4,1,0.5922385238765598,1.1472980341505512,-0.6767659918934866,1.304118095168932,1.0862560296420136
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,-1.2826368140734004,-1.1524125583854925,-1.174156762236224,-1.441596553437383,-0.995460658013013
0,1,0,1,1,1,0,2,0,1,0,1,1,1,1,2,3,3,2,1,1,0,1,0,0,7,1,1.6111925118928425,0.8446607761306237,0.06932016362061937,0.9213490281685774,1.8010348573489061
0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,5,1,-0.6305062617429795,-0.005051525233019298,-0.42807060672211794,0.05267734812046117,-0.5265731581860328
1,1,0,1,1,0,0,2,1,1,0,1,1,0,0,2,3,3,2,1,1,1,0,0,0,5,1,1.5704343523721913,1.047527509528597,-0.42807060672211794,1.141838912401277,1.9763879302449687
1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,3,0,2,0,1,1,0,0,0,6,1,-1.2418786545527492,1.0192591942190437,-0.1793752215507493,0.046855265464933474,-0.9286500343900981
0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,2,1,0,1,0,1,0,0,5,1,-0.2229246665364664,0.043170895000925316,-0.42807060672211794,0.2562747988410606,-0.181888570746188
0,0,0,1,0,1,0,1,2,2,2,2,2,2,2,0,2,0,0,0,0,0,0,1,1,13,0,-1.2826368140734004,-1.4849809737920063,1.8101878598202,-1.6053426281241066,-0.9998720560732912
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,3,0,-1.2826368140734004,-0.651897093198689,-0.9254613770648553,-1.1951587110338642,-0.9888215039322941
0,1,1,1,0,0,0,2,1,1,0,0,1,1,0,2,2,3,2,1,1,1,0,0,0,5,1,1.6111925118928425,1.1655892969979098,-0.42807060672211794,1.3171434785586094,2.190230451216959
0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,-1.1196041759907953,0.16123268247023767,-0.9254613770648553,-0.20640533005053244,-0.8689858756248341
0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,3,2,2,0,1,1,0,0,0,4,0,0.5514803643559085,0.3308425743275596,-0.6767659918934866,0.5363166704168009,0.5565132935734948
0,0,0,1,1,1,1,2,1,0,0,1,0,1,1,0,0,2,3,1,1,1,0,0,0,5,0,0.06238245010809279,1.380095924935111,-0.42807060672211794,1.3848946186193023,0.5569323763892211
0,0,0,1,1,0,1,2,1,0,1,1,0,1,1,0,2,0,2,1,1,1,0,0,0,6,0,-0.8750552188668873,1.097412771839574,-0.1793752215507493,1.0806388169871144,-0.5211471385718904
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,2,1,-0.9158133783875386,-0.5088926745738881,-1.174156762236224,-0.519855013019027,-0.7989328744276147
0,1,1,1,1,0,0,2,0,1,0,0,0,1,0,2,3,3,1,1,1,0,1,0,0,4,1,1.5296761928515399,0.14460426169991197,-0.6767659918934866,0.3112936446702815,1.1406044537446427
0,1,1,1,0,0,0,1,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,1,1,13,1,-0.6305062617429795,-1.4666897109446482,1.8101878598202,-1.175145301905487,-0.8242763562839136
0,0,0,1,1,0,0,2,0,1,0,1,1,1,0,2,3,3,2,1,1,0,1,0,0,6,0,1.2443690762069808,0.49878962410784905,-0.1793752215507493,0.551525784714249,1.1357960298589391
0,1,0,1,1,0,0,2,0,1,0,0,1,1,0,0,0,1,2,1,1,0,1,0,0,5,1,-0.7935388998255847,0.37740215248447173,-0.42807060672211794,0.35972722959849424,-0.5758264175290398
0,0,0,1,1,0,0,2,1,0,1,0,0,0,1,0,0,3,2,1,1,1,0,0,0,4,0,0.6737548429178625,0.6534339372718783,-0.6767659918934866,0.6227174609232025,0.7146178000538687
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,-1.2418786545527492,-0.5188697270360835,-1.174156762236224,-0.8772184160171427,-0.9659925189703539
0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,2,0,1,1,0,0,0,4,0,-1.2418786545527492,0.5253950973403705,-0.6767659918934866,-0.3625099212518752,-0.9451927771161416
0,0,0,1,1,1,0,2,0,1,1,0,1,1,1,2,3,3,2,1,1,0,1,0,0,7,0,0.7960293214798164,0.49546393995378407,0.06932016362061937,0.6701099003055508,0.8518563937091267
0,1,1,1,1,0,0,2,0,1,1,1,1,0,0,2,3,3,1,1,1,0,1,0,0,6,1,1.4889180333308887,-0.023342788080377472,-0.1793752215507493,0.054153661936684624,0.867869768667937
1,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,2,2,1,1,1,0,0,0,3,0,0.4292058857939546,0.8446607761306237,-0.9254613770648553,0.9210732292071656,0.6846423502342778
0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,3,1,2,0,1,1,0,0,0,5,0,-0.7120225807842822,1.1389838237653884,-0.42807060672211794,0.9834828126729918,-0.37954126083695705
1,1,0,1,1,0,0,2,0,1,1,0,1,1,0,0,3,2,1,1,1,0,1,0,0,6,1,-0.304440985577769,0.1545813141621073,-0.1793752215507493,0.27150228408321925,-0.23561939912037763
1,1,0,1,1,0,1,2,1,0,0,0,0,0,0,0,3,0,2,1,1,1,0,0,0,2,1,-0.9973296974288413,0.5253950973403705,-1.174156762236224,0.3683433920998669,-0.7294092409976288
1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,3,3,2,0,1,0,1,0,0,6,1,1.122094597645027,0.3325054164045921,-0.1793752215507493,0.4563815138945487,0.9570902944370655
1,0,0,1,1,1,1,2,1,0,1,0,0,1,1,0,0,1,2,1,1,1,0,0,0,5,0,-0.5897481022223282,1.017596352142011,-0.42807060672211794,1.0846606504004723,-0.23566351310098047
0,1,1,1,1,0,0,2,1,1,1,0,0,1,1,1,3,3,2,1,1,1,0,0,0,6,1,1.2443690762069808,1.157275086612747,-0.1793752215507493,1.2933722590176158,1.7753384636477851
1,1,1,1,1,1,0,2,1,0,0,1,1,1,1,1,0,3,3,1,1,1,0,0,0,6,1,1.3666435547689346,1.4499352921704791,-0.1793752215507493,1.5227695117830276,2.112876586229979
0,1,1,1,0,0,0,2,2,2,2,2,2,2,2,2,3,2,0,1,0,0,0,1,1,13,1,0.06238245010809279,-1.3270109764739122,1.8101878598202,-1.0993204727493635,-0.6142717516243653
0,0,0,1,1,0,0,2,1,0,1,1,1,1,1,2,3,3,3,1,1,1,0,0,0,7,0,1.6111925118928425,1.4183412927068604,0.06932016362061937,1.5872123469460275,2.4557966144457124
0,1,0,1,1,0,0,2,1,0,1,1,0,1,1,0,0,2,3,1,1,1,0,0,0,6,1,0.5922385238765598,1.1855434019223006,-0.1793752215507493,1.275428418333196,1.0677061007985438
0,0,0,1,1,1,0,2,1,0,0,0,0,1,0,0,2,3,2,1,1,1,0,0,0,3,0,1.122094597645027,0.833020881591396,-0.9254613770648553,0.9902205609920681,1.3957376605608376
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,2,3,1,0,1,0,1,0,0,3,1,1.6111925118928425,-0.7566561440517409,-0.6767659918934866,-0.6072990874239594,0.2978730252993781
0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,3,1,1,0,1,0,1,0,0,5,1,-0.5897481022223282,-0.3475969931017288,-0.42807060672211794,-0.28641108759483497,-0.5865681718058176
0,0,0,1,0,0,1,2,1,0,1,0,0,1,1,0,0,0,2,1,1,1,0,0,0,5,0,-0.9565715379081899,0.9826766685243272,-0.42807060672211794,0.8713167515125858,-0.6306159814376964
0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,1,0,1,0,0,5,0,-1.201120495032098,0.3474709950978853,-0.42807060672211794,0.062411142560172016,-0.9011008535036601
0,1,0,1,1,1,0,2,1,0,0,0,0,0,0,1,0,2,2,1,1,1,0,0,0,2,1,0.5922385238765598,0.4671956246442306,-1.174156762236224,0.5544339832282164,0.6015316107786346
0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,2,1,2,2,0,1,0,1,0,0,6,0,-0.059892028453861136,0.4771726771064259,-0.1793752215507493,0.6195571616817485,0.09283124345764282
0,1,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,1,1,13,1,0.7145130024385138,-1.4866438158690392,1.8101878598202,-1.3383402051643432,-0.5981260347237467
0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,2,0,1,1,0,0,0,5,0,-0.9158133783875386,0.49878962410784905,-0.42807060672211794,0.7057099259771499,-0.6173376732762588
0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,4,0,-1.2826368140734004,-0.5255210953442138,-0.6767659918934866,-1.1329352026529094,-0.9871451726693882
0,1,1,1,1,0,0,1,2,2,2,2,2,2,2,1,0,3,0,0,0,0,0,1,1,13,1,0.7960293214798164,-1.4783296054838762,1.8101878598202,-1.262186467455156,-0.5276539507108009
1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2,2,3,3,1,1,1,0,0,0,8,1,1.2851272357276322,1.554694343023531,0.318015548791988,1.6406084062427122,2.122868402836509
0,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,3,0,1,0,0,0,1,1,13,1,1.2036109166863296,-1.3502907655523684,1.8101878598202,-1.1955615783604743,-0.3803353124878072
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,2,0,1,0,1,0,1,0,0,6,1,-1.201120495032098,-0.011702893541149671,-0.1793752215507493,-0.48368201652005066,-0.9305248785657163
1,0,0,1,0,0,0,2,1,1,0,1,0,1,1,1,0,3,3,1,1,1,0,0,0,6,0,0.9590619595624216,1.5181118173288144,-0.1793752215507493,1.5913254783390238,1.6995947589528069
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,3,2,1,0,1,0,1,0,0,4,0,0.5514803643559085,-0.3060259411759146,-0.6767659918934866,-0.06254104826194166,0.17737568728287642
0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,3,1,-0.9973296974288413,-0.339282782716566,-0.9254613770648553,-0.18129759859856795,-0.7960434086981325
1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,2,2,0,1,0,1,0,0,5,0,-0.10065018797451245,0.3291797322505271,-0.42807060672211794,0.29432312349954615,-0.07740460768849648
0,1,1,1,1,0,0,2,2,2,2,2,2,2,2,1,3,2,0,1,0,0,0,1,1,13,1,0.5107222048352572,-1.2954169770102935,1.8101878598202,-1.0699641578440369,-0.4720923921415958
0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,2,0,1,1,0,0,0,4,1,-1.2826368140734004,0.4821612033375233,-0.6767659918934866,-0.6367845963521372,-0.9737786365467451
0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,5,1,-0.8750552188668873,-0.4756358330332367,-0.1793752215507493,-0.39321231025563586,-0.7593846908172198
0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,2,0,2,0,1,1,0,0,0,4,1,-1.0380878569494927,0.34248246886678785,-0.6767659918934866,0.09802591380453433,-0.7895807105398247
0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,2,2,3,0,1,1,0,0,0,6,0,0.38844772627330326,1.29529097900645,-0.1793752215507493,1.359756060110088,0.9002494304303795
0,1,0,1,1,0,0,1,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,1,1,13,1,0.6737548429178625,-1.4866438158690392,1.8101878598202,-1.2985807318059988,-0.5793996499578654
0,0,0,1,1,1,0,2,1,0,0,0,0,1,1,0,3,0,2,1,1,1,0,0,0,4,0,-0.9565715379081899,1.1456351920735188,-0.6767659918934866,1.072724423377256,-0.6034858833669848
0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,2,2,1,0,1,0,1,0,0,5,1,0.1031406096287441,-0.0898564711616805,-0.42807060672211794,0.07928608525705373,-0.03145989689069819
0,1,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,1,13,1,0.6329966833972112,-1.4700153950987134,1.8101878598202,-1.229662348199995,-0.5424983051836374
0,1,1,1,1,0,0,1,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,1,1,13,1,0.5514803643559085,-1.493295184177169,1.8101878598202,-1.2901140145569845,-0.5998023659866525
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,1,0,0,3,1,-0.14140834749516376,-1.03435077091618,-0.6767659918934866,-0.8343715264741168,-0.5635627309214662
0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,2,2,2,0,1,1,0,0,0,3,1,-0.10065018797451245,0.5719546754972822,-0.9254613770648553,0.7791171472010776,0.12503444929767438
1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,4,0,-1.2826368140734004,0.32751689017349467,-0.6767659918934866,-0.7129265210814635,-0.9758299366447746
0,1,1,1,1,1,0,2,0,1,1,1,1,1,1,2,1,3,2,1,1,0,1,0,0,8,1,1.3666435547689346,0.6368055165015525,0.318015548791988,0.8569828600493377,1.5120000564394722
0,0,0,1,1,0,0,2,1,1,0,1,0,1,1,0,3,3,3,1,1,1,0,0,0,6,0,1.3258853952482834,1.5364030801761726,-0.1793752215507493,1.5903853094891478,2.1263975212847317
0,0,0,1,1,1,0,2,1,0,0,1,0,1,1,2,2,3,3,1,1,1,0,0,0,5,0,1.6111925118928425,1.1988461385385614,-0.42807060672211794,1.4101647075621497,2.2817007899968296
0,0,0,1,1,0,1,2,1,1,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,4,0,-0.834297059346236,0.4688584667212631,-0.6767659918934866,0.40004295271229706,-0.5996920810351455
0,1,1,1,1,1,0,2,0,1,0,0,1,0,0,1,3,3,1,1,1,0,1,0,0,4,1,1.5704343523721913,0.06645068407938091,-0.6767659918934866,0.2238374811888336,1.0860575167293012
0,0,0,1,0,1,1,1,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,1,1,13,0,-1.1196041759907953,-1.4567126584824528,1.8101878598202,-1.3146933455551724,-0.958559313238785
0,0,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,1,1,13,0,0.7960293214798164,-1.4583755005594854,1.8101878598202,-1.2519600616586832,-0.5203530869210403
1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,2,2,0,1,1,0,0,0,5,1,-0.304440985577769,1.1190297188409977,-0.42807060672211794,1.2311172610069137,0.10046296210192435
0,0,0,1,0,1,0,1,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,1,1,13,0,-1.2826368140734004,-1.4849809737920063,1.8101878598202,-1.6053426281241066,-0.9998720560732912
0,1,1,1,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,13,1,-1.2826368140734004,-1.509923604947495,1.8101878598202,-1.6176235837256108,-1.000202910927812
0,0,0,1,0,1,0,2,1,0,1,1,1,1,0,1,2,2,2,1,1,1,0,0,0,6,0,0.22541508819069803,1.0026307734487179,-0.1793752215507493,1.0915972081392256,0.5817906044588892
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,3,1,0,1,0,1,0,0,3,1,1.3666435547689346,-0.6419200407364937,-0.6767659918934866,-0.45640729721402346,0.326657397642694
0,1,0,1,1,1,1,2,1,0,0,1,1,1,1,2,2,3,3,1,1,1,0,0,0,6,1,1.4481598738102373,1.5014833965584888,-0.1793752215507493,1.676674528846788,2.349106952357882
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,-1.1196041759907953,-1.3486279234753358,-0.9254613770648553,-1.3891978095376316,-0.9645808715910649
0,1,1,1,1,0,0,2,1,1,0,0,0,1,1,1,0,3,3,1,1,1,0,0,0,5,1,1.6111925118928425,1.3069308735456784,-0.42807060672211794,1.340180083860427,2.2128829802564884
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,1,0,1,0,0,3,0,-0.019133868933209827,-1.154075400462525,-0.6767659918934866,-1.0155094190934757,-0.5995597390933372
0,0,0,1,0,1,0,2,1,0,1,0,0,1,1,1,1,2,2,1,1,1,0,0,0,5,0,0.4292058857939546,0.9810138264472943,-0.42807060672211794,0.9825152222316611,0.7210584412218752
0,1,1,1,0,1,0,1,2,2,2,2,2,2,2,2,3,3,0,0,0,0,0,1,1,13,1,1.6111925118928425,-1.5115864470245277,1.8101878598202,-1.3245293255209436,-0.40739923958761454
0,1,0,1,1,1,1,2,1,1,0,0,0,1,0,0,0,3,2,1,1,1,0,0,0,4,1,0.9183038000417704,1.0608302461448578,-0.6767659918934866,1.1276378391382678,1.3023042496441433
0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,3,3,1,0,1,0,1,0,0,6,0,0.7960293214798164,-0.22953520563241622,-0.1793752215507493,-0.05627386610191245,0.33327449473311144
0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,2,2,0,1,1,0,0,0,4,0,0.4292058857939546,0.8912203542875359,-0.6767659918934866,1.0069282733667724,0.7355278268595878
1,1,0,1,1,0,1,2,1,0,1,0,0,0,0,0,0,2,2,1,1,1,0,0,0,3,1,0.1846569286700467,0.38737920494666706,-0.9254613770648553,0.5357234805493748,0.25647205450366634
0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,0,3,1,0,1,0,1,0,0,4,1,1.2851272357276322,-0.3409456247935984,-0.42807060672211794,-0.21123373994514072,0.5014590457812215
0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,4,1,-1.201120495032098,0.831358039514363,-0.6767659918934866,0.09761654861781766,-0.8992039523377404
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,0,0,1,0,1,0,0,3,0,0.14389876914939542,-1.124144243075939,-0.6767659918934866,-0.9391616383243098,-0.5119052596356074
0,1,1,1,1,0,1,2,1,1,1,0,0,1,1,0,0,0,3,1,1,1,0,0,0,6,1,-0.9158133783875386,1.1772291915371378,-0.1793752215507493,1.2335677267399878,-0.5391235856675244
0,0,0,1,0,0,0,1,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,1,1,13,0,0.34768956675265195,-1.4700153950987134,1.8101878598202,-1.2849071548264446,-0.6403651711509113
0,1,1,1,1,1,0,2,1,0,0,0,1,0,0,0,3,2,2,1,1,1,0,0,0,3,1,-0.2229246665364664,0.6767137263503343,-0.9254613770648553,0.5804335459798137,-0.05962667350557507
0,1,1,1,1,0,0,2,1,0,1,1,0,1,1,1,3,3,2,1,1,1,0,0,0,6,1,0.9590619595624216,1.1622636128438444,-0.1793752215507493,1.2327790295381469,1.4243014630011397
0,0,0,1,0,0,0,1,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,1,1,13,0,-1.0788460164701439,-1.4683525530216806,1.8101878598202,-1.4086134155362002,-0.9590445670254155
0,0,0,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,3,0,-1.201120495032098,0.31753983771129934,-0.9254613770648553,-0.05671412677441917,-0.9075194376813649
0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,4,1,-1.0380878569494927,-0.47064730680213884,-0.6767659918934866,-0.5018987673289487,-0.8542297491132033
0,1,1,1,0,0,0,1,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,1,1,13,1,-1.1603623355114465,-1.463364026790583,1.8101878598202,-1.5241245750794918,-0.9810353863559028
0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,2,0,2,2,0,1,1,0,0,0,6,0,0.021624290587441482,0.801426882127777,-0.1793752215507493,0.9801597305690551,0.3268338535651052
1,0,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,2,2,1,1,1,0,0,0,4,0,-0.2229246665364664,0.4389273093346766,-0.6767659918934866,0.5616027473908404,-0.0667290243826231
0,1,0,1,1,1,0,2,2,2,2,2,2,2,2,2,2,3,0,1,0,0,0,1,1,13,1,1.6111925118928425,-1.3735705546308243,1.8101878598202,-1.1627123141798443,-0.24828011155337637
0,0,0,1,0,1,0,1,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,1,1,13,0,-1.2826368140734004,-1.4999465524852995,1.8101878598202,-1.6127112014850091,-1.0000705689860037
1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,3,1,0,1,0,1,0,0,4,0,1.5704343523721913,-0.2794204679433933,-0.42807060672211794,-0.12337242467813962,0.7493134457979576
0,0,0,1,1,0,0,2,1,0,1,0,0,0,1,0,0,1,2,1,1,1,0,0,0,4,0,-0.7935388998255847,0.7016563575058229,-0.6767659918934866,0.9075748109075038,-0.47251147495732215
0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,3,2,1,0,1,0,1,0,0,5,1,-0.304440985577769,-0.20791825863099286,-0.1793752215507493,-0.04339401339124916,-0.34590435062733504
